的 de5
了 le5
我 wo3
一 yi1
在 zai4
是 shi4
他 ta1
个 ge4
你 ni3
和 he2
不 bu4
有 you3
就 jiu4
这 zhe4
也 ye3
说 shuo1
人 ren2
她 ta1
着 zhe5
都 dou1
我们 wo3men5
上 shang4
年 nian2
要 yao4
地 de5
对 dui4
很 hen3
到 dao4
看 kan4
去 qu4
来 lai2
中 zhong1
把 ba3
自己 zi4ji3
还 hai2
那 na4
会 hui4
大 da4
又 you4
他们 ta1men5
好 hao3
多 duo1
得 de5
为 wei4
与 yu3
而 er2
里 li3
两 liang3
想 xiang3
什么 shen2me5
被 bei4
月 yue4
从 cong2
种 zhong3
给 gei3
让 rang4
但 dan4
可以 ke3yi3
下 xia4
时 shi2
这个 zhe4ge5
小 xiao3
点 dian3
就是 jiu4shi4
后 hou4
之 zhi1
日 ri4
能 neng2
中国 zhong1guo2
过 guo4
用 yong4
做 zuo4
等 deng3
几 ji3
将 jiang1
三 san1
最 zui4
这样 zhe4yang4
次 ci4
时候 shi2hou5
没 mei2
现在 xian4zai4
已经 yi3jing1
再 zai4
吧 ba5
天 tian1
不是 bu2shi5
以 yi3
时间 shi2jian1
还是 hai2shi5
走 zou3
更 geng4
呢 ne5
可 ke3
只 zhi3
问题 wen4ti2
它 ta1
如果 ru2guo3
家 jia1
啊 a5
工作 gong1zuo4
才 cai2
却 que4
向 xiang4
所 suo3
问 wen4
新 xin1
吃 chi1
们 men5
开始 kai1shi3
元 yuan2
出 chu1
话 hua4
像 xiang4
真 zhen1
事 shi4
但是 dan4shi4
学生 xue2sheng5
于 yu2
或 huo4
跟 gen1
并 bing4
所以 suo3yi3
第一 di4yi1
当 dang1
一些 yi1xie1
儿 er2
这些 zhe4xie1
还有 hai2you3
前 qian2
觉得 jue2de5
怎么 zen3me5
已 yi3
生活 sheng1huo2
不能 bu4neng2
孩子 hai2zi5
起来 qi3lai5
名 ming2
听 ting1
一样 yi1yang4
叫 jiao4
大家 da4jia1
可能 ke3neng2
本 ben3
比 bi3
钱 qian2
看到 kan4dao4
高 gao1
太 tai4
其 qi2
那么 na4me5
爱 ai4
位 wei4
找 zhao3
长 zhang3
喜欢 xi3huan5
道 dao4
美国 mei3guo2
那个 na4ge5
笑 xiao4
打 da3
不会 bu4hui4
东西 dong1xi5
谁 shei2
北京 bei3jing1
买 mai3
成 cheng2
二 er4
使 shi3
你们 ni3men5
写 xie3
条 tiao2
这里 zhe4li3
